,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
10,87,NCT04448106,Autologous Adipose Tissue-Derived Mesenchymal Stem Cells (AdMSCs) for Osteoarthritis,AdMSCs,Not yet recruiting,No Results Available,"Osteoarthritis, Knee|Osteoarthritis, Hip|Osteoarthritis Shoulder",Biological: Celltex- AdMSCs,"the frequency and nature of adverse events occurring during the study based on the annualized rate of all AdMSC-associated adverse events (AEs) in all subjects.|Any organ damage or safety concerns determined by SMAC 20 blood test.|Change of Knee injury and Osteoarthritis Outcome Score (KOOS, 0 is the worst and 100 is the best) from the baseline for OA-knee patients|Change of Knee Society Score (KSS, 0 is the worst and 100 is the best) from the baseline for OA-knee patients|Change of Hip disability and Osteoarthritis Outcome Score (HOOS, 0 is the worst and 100 is the best) from the baseline for OA-hip patients|Change of Harris Hip Score (HHS, 0 is the worst and 100 is the best) from the baseline for OA-hip patients|Change of the American Shoulder and Elbow Surgeons Shoulder Score (ASES, 0 is the worst and 100 is the best) from the baseline for OA-shoulder patients|Change of Constant shoulder score (CSS, 0 is the worst and 100 is the best) from the baseline for OA-shoulder patients|changes in joint images (X-ray or MRI) from the baseline",Celltex Therapeutics Corporation,All,"18 Years and older   (Adult, Older Adult)",Phase 2,300,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment",CTX0020-002,"September 25, 2022","August 1, 2023","August 15, 2025","June 25, 2020",,"May 6, 2022","Stanley C Jones, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT04448106
11,273,NCT05497401,A Controlled Study to Evaluate the Efficacy of Allogeneic MesenCure for the Treatment of Patients With COVID-related Pneumonia,,Not yet recruiting,No Results Available,Covid-related Pneumonia,Biological: MesenCure|Other: Placebo,Mortality|CRP reduction|Invasive ventilation,BonusBio Group Ltd,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 3,300,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",MCS-03,October 2022,"December 31, 2023",July 2024,"August 11, 2022",,"August 11, 2022",,,https://ClinicalTrials.gov/show/NCT05497401
12,560,NCT01873547,Different Efficacy Between Rehabilitation Therapy and Stem Cells Transplantation in Patients With SCI in China,SCI-III,Completed,No Results Available,Spinal Cord Injury,Biological: cell therapy|Other: rehabilitation,Assessment of changes in International Standards for Neurological Classification of Spinal Cord Injury according to American Spine Injury Association|Assessment of changes in score of pain index using Short-form McGill Pain Questionnaire|Assessment of changes in score of activity of daily living|Assessment of changes in sensory evoked potentials and motor evoked potentials,General Hospital of Chinese Armed Police Forces,All,"20 Years to 65 Years   (Adult, Older Adult)",Phase 3,300,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,2013-03-04SCI-III,June 2012,October 2014,December 2015,"June 10, 2013",,"May 25, 2018","General Hospital of Chinese People's Armed Police Forces, Beijing, Beijing, China",,https://ClinicalTrials.gov/show/NCT01873547
13,242,NCT04551456,WJMSCs Anti-inflammatory Therapy in Coronary Artery Disease,WANICHD,Not yet recruiting,No Results Available,Coronary Artery Disease,Biological: Intravenous infusion human umbilical Wharton's jelly-derived mesenchymal stem Cell or placebo PBS,"The primary end point was checking incidence of adverse events (AEs) within 12 months,|The secondary end point was measuring low attenuation plaque volume LAPV|The secondary end point was efficacy 2","Navy General Hospital, Beijing|Chinese PLA General Hospital|Peking University Third Hospital|Peking Union Medical College Hospital|Xijing Hospital",All,"18 Years and older   (Adult, Older Adult)",Phase 2,300,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",NavyGHB-007,"November 30, 2020","December 30, 2021","December 30, 2022","September 16, 2020",,"September 16, 2020",,,https://ClinicalTrials.gov/show/NCT04551456
14,126,NCT03909139,Use of BMAC With Hip Arthroscopy Treatment of FAI and Labral Tear,,Recruiting,No Results Available,Acetabular Labrum Tear|Femoro Acetabular Impingement|Chondral Defect|Bone Marrow Aspirate Concentrate|Mesenchymal Stromal Cell,Biological: BMAC,Change iHOT--33 Surveys from preoperative to various postoperative timepoints|Change HOS Surveys from preoperative to various postoperative timepoints|Change NAHS Surveys from preoperative to various postoperative timepoints|Change LEFS Surveys from preoperative to various postoperative timepoints|Change mHHS Surveys from preoperative to various postoperative timepoints|Change RAND-36 Surveys from preoperative to various postoperative timepoints|Degree of Improvement on Hip VAS Pain Score|Patient Satisfaction Questionnaires,Massachusetts General Hospital,All,"18 Years and older   (Adult, Older Adult)",,300,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,2019P002191,"September 6, 2019","June 30, 2023","June 30, 2025","April 9, 2019",,"May 6, 2022","MGH, Massachusetts General Hospital, Boston, Massachusetts, United States",,https://ClinicalTrials.gov/show/NCT03909139
15,251,NCT01541579,Adipose Derived Mesenchymal Stem Cells for Induction of Remission in Perianal Fistulizing Crohn's Disease,ADMIRE-CD,Completed,No Results Available,Crohn's Disease,Other: Cx601|Other: Saline solution,Combine remission of perianal fistulising Crohn's|Efficacy Assessment by week 24|Efficacy Assessment by week 52|Efficacy Assessment by week 104|Safety analysis throughout the study:,Tigenix S.A.U.|Takeda,All,"18 Years and older   (Adult, Older Adult)",Phase 3,278,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",Cx601-0302,July 2012,July 2015,November 2016,"March 1, 2012",,"November 29, 2019","Univ.-Klinik Innsbruck, Innsbruck, Austria|Krankenhaus, St. Veit/Glan, Austria|Medizinische Universität, Wien, Austria|Hospital Oost-Limburg, Genk, Belgium|Gent University Hospital, Gent, Belgium|Leuven University Hospital, Leuven, Belgium|Hospital Hartziekenhuis, Roeselare, Belgium|CHU d'Amiens, Amiens, France|CHU de Bordeaux, Bordeaux, France|CHU de Caen, Caen, France|Hôpital Beaujon, Clichy, France|CHRU de Lille, Lille, France|CHU de Marseille, Marseille, France|CHU de Nice, Nice, France|Hôpital Saint-Louis, Paris, France|Charite, Berlin, Germany|Krakenhaus Walfriede, Berlin, Germany|Klinikum Braunscheweig, Braunschweig, Germany|Klinikum Frankfurt, Frankfurt/Main, Germany|Evangelisches Krankenhaus Kalk, Köln, Germany|Klinikum Lüneburg, Lüneburg, Germany|Rambam MC, Haifa, Israel|Sharee Zedek MC, Jerusalem, Israel|Rabin MC, Petah Tikva, Israel|Tel Aviv Sourasky MC, Tel Aviv, Israel|Sheba MC, Tel Hashomer, Israel|Azienda Ospedaliero-Universitaria di Bologna Policlinico Sant'Orsola Malpighi, Bologna, Italy|Azienda Ospedaliero-Universitaria Careggi, Firenze, Italy|Instituto Clinico Humanitas IRCCS, Milano, Italy|Seconda Università degli Studi di Napoli, Napoli, Italy|Azienda Ospedaliera di Padova, Padova, Italy|Azienda Ospedaliera San Camillo-Forlanini, Rome, Italy|Università Cattolica del Sacro Cuore, Rome, Italy|AMC, Amsterdam, Netherlands|VUMC, Amsterdam, Netherlands|Catharina Ziekenhuis, Eindhoven, Netherlands|UMCU, Utrecht, Netherlands|Hospital de Manises, Manises, Valencia, Spain|Hospital Clinic de Barcelona, Barcelona, Spain|Hospital Universitario Reina Sofia, Cordoba, Spain|Hospital Juan Ramon Jimenez, Huelva, Spain|Hospital Ramón y Cajal, Madrid, Spain|Fundacion Jimenez Diaz, Madrid, Spain|Hospital 12 de Octubre, Madrid, Spain|Hospital Clinico San Carlos, Madrid, Spain|Hospital La Princesa, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain|Son Espases, Palma de Mallorca, Spain|Hospital de Montecelo, Pontevedra, Spain|Hospital Virgen del Rocio, Seville, Spain|Hospital de Sagunto, Valencia, Spain|Hospital Universitario La Fe, Valencia, Spain",,https://ClinicalTrials.gov/show/NCT01541579
16,551,NCT01220492,Umbilical Cord Mesenchymal Stem Cells for Patients With Liver Cirrhosis,,Completed,No Results Available,Liver Cirrhosis,Drug: conventional plus MSC treatment|Drug: conventional plus placebo treatment,survival time|incidence of HCC events|The levels of serum albumin|The levels of serum total bilirubin|The levels of serum prothrombin activity|the levels of serum cholinesterase|complications,Beijing 302 Hospital,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1|Phase 2,266,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,beijing302-002,May 2009,April 2016,April 2016,"October 14, 2010",,"August 8, 2018","Beijing 302 Hospital, Beijing, Beijing, China",,https://ClinicalTrials.gov/show/NCT01220492
17,196,NCT03280056,Safety and Efficacy of Repeated Administrations of NurOwn® in ALS Patients,,Completed,No Results Available,Amyotrophic Lateral Sclerosis (ALS),Biological: NurOwn® (MSC-NTF cells)|Other: Placebo|Other: Bone Marrow aspiration,To evaluate the efficacy and safety of NurOwn® (autologous MSC-NTF cells) as compared to placebo as measured by the amyotrophic lateral sclerosis functional rating scale (ALSFRS-R)|Biomarkers,Brainstorm-Cell Therapeutics|California Institute for Regenerative Medicine (CIRM),All,18 Years to 60 Years   (Adult),Phase 3,263,Industry|Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",BCT-002-US,"August 28, 2017","October 30, 2020","October 30, 2020","September 12, 2017",,"October 6, 2021","University of California Irvine Alpha Stem Cell Clinic, Irvine, California, United States|Cedars-Sinai Medical Center, Los Angeles, California, United States|California Pacific Medical Center, San Francisco, California, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|University of Massachusetts Medical School, Worcester, Massachusetts, United States|Mayo Clinic, Rochester, Minnesota, United States",,https://ClinicalTrials.gov/show/NCT03280056
18,189,NCT03990805,A Phase 3 Study to Evaluate the Efficacy and Safety of JointStem in Treatment of Osteoarthritis,,Completed,No Results Available,Degenerative Arthritis|Knee Osteoarthritis,Biological: JOINTSTEM|Drug: saline,Change of Western Ontario and McMaster Universities Osteoarthritis Index(WOMAC) scores from baseline|Change of Visual Analog Scale (VAS) scores from baseline|WOMAC 3 subscale score|VAS score|KOOS|SF-36|IKDC|Measuring of Kellgren-Lawrence grade|Measuring of Femoro-tibial anatomical angle(FTA)|Measuring of Hip-Knee-Ankle angle(HKA)|Measuring of Joint Space Width|MRI scan|Use of rescue medication,R-Bio,All,"20 Years to 100 Years   (Adult, Older Adult)",Phase 3,260,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",BSR-CTph3-JS1,"June 11, 2019","December 15, 2020","December 15, 2020","June 19, 2019",,"September 28, 2022","Chungbuk National University Hospital, Cheongju-si, Korea, Republic of|Yeungnam University Hospital, Daegu, Korea, Republic of|Keimyung University Dongsan Medical Center, Daegu, Korea, Republic of|Chonbuk National University Hospital, Jeonju, Korea, Republic of|Gyeongsang National University Hospital, Jinju-si, Korea, Republic of|Kyunghee University Medical Center, Seoul, Korea, Republic of|Seoul National University Hospital, Seoul, Korea, Republic of|Yonsei University Health System, Seoul, Korea, Republic of|KyungHee University Gangdong Hospital, Seoul, Korea, Republic of|Gangnam Severance Hospital, Seoul, Korea, Republic of|Samsung Medical Center, Seoul, Korea, Republic of|Seoul St. Mary's Hospital, Seoul, Korea, Republic of|Chunang University Hospital, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT03990805
19,3,NCT00366145,Efficacy and Safety of Adult Human Mesenchymal Stem Cells to Treat Steroid Refractory Acute Graft Versus Host Disease (GVHD),,Completed,No Results Available,Graft Versus Host Disease,Biological: Prochymal®|Drug: Placebo|Drug: Standard of Care for GVHD,Percentage of Participants achieving Complete Response of Greater Than or Equal to 28 Days Duration|Overall Survival at 180 days Post First Infusion,"Mesoblast, Inc.|Mesoblast, Ltd.",All,"6 Months to 70 Years   (Child, Adult, Older Adult)",Phase 3,260,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",280,"August 17, 2006","December 26, 2008","May 28, 2009","August 21, 2006",,"February 10, 2022","University of Alabama at Birmingham, Birmingham, Alabama, United States|Arizona Cancer Center, Tucson, Arizona, United States|City of Hope, Duarte, California, United States|Univeristy of California San Francisco, San Francisco, California, United States|Yale New Haven Hospital, New Haven, Connecticut, United States|University of Miami, Miami, Florida, United States|All Children's Hospital, Saint Petersburg, Florida, United States|Emory University, Atlanta, Georgia, United States|Northside Hospital, Atlanta, Georgia, United States|Northwestern Center for Clinical Research, Chicago, Illinois, United States|Rush University Medical Center, Chicago, Illinois, United States|University of Illinois - Chicago, Chicago, Illinois, United States|Indiana Blood and Bone Marrow Transplant Center, Beech Grove, Indiana, United States|Univeristy of Iowa Hospitals and Clinics, Iowa City, Iowa, United States|University of Kansas Medical Center, Kansas City, Kansas, United States|University of Louisville, Louisville, Kentucky, United States|Louisiana State University, Shreveport, Louisiana, United States|University of Maryland/Greenbaum, Baltimore, Maryland, United States|Tufts-New England Medical Center, Boston, Massachusetts, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Karmanos/Wayne State University, Detroit, Michigan, United States|Mayo Clinic Rochester, Rochester, Minnesota, United States|Univeristy of Mississippi Medical Center, Jackson, Mississippi, United States|University of Nebraska, Omaha, Nebraska, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Roswell Park, Buffalo, New York, United States|New York Presbyterian Hospital, New York, New York, United States|Mount Sinai Medical Center, New York, New York, United States|Columbia University/New York Presbyterian Hospital, New York, New York, United States|University of Rochester, Rochester, New York, United States|New York Medical College, Valhalla, New York, United States|Duke University, Durham, North Carolina, United States|Wake Forest Univeristy School of Medicine, Winston-Salem, North Carolina, United States|Oregon Health and Science University, Portland, Oregon, United States|Penn State Hershey Medical Center, Hershey, Pennsylvania, United States|Western Pennsylvania Cancer Institute, Pittsburgh, Pennsylvania, United States|Medical University of South Carolina, Charleston, South Carolina, United States|Texas Cancer Center at Medical City, Dallas, Texas, United States|Baylor University, Dallas, Texas, United States|Univeristy of Texas Southwestern Medical Center, Dallas, Texas, United States|MD Anderson Cancer Center, Houston, Texas, United States|Texas Research Center, San Antonio, Texas, United States|Virginia Commonwealth/Massey Cancer Center, Richmond, Virginia, United States|Fred Hutchinson Cancer Research Center, Seattle, Washington, United States|University of Wisconsin Madison, Madison, Wisconsin, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States|Royal Brisbane Hospital, Herston, Queensland, Australia|Royal Melbourne Hospital, Parkville, Victoria, Australia|Royal Perth Hospital, Perth, Western Australia, Australia|Co-Medica Research Network, Calgary, Alberta, Canada|British Columbia's Children's Hospital, Vancouver, British Columbia, Canada|Cancer Care Manitoba, Winnipeg, Manitoba, Canada|Queen Elizabeth II Health Sciences Centre, Halifax, Nova Scotia, Canada|Hamilton Health Sciences Centre, Hamilton, Ontario, Canada|London Health Sciences Centre- Westminster Campus, London, Ontario, Canada|Ottawa Hospital, Ottawa, Ontario, Canada|Toronto General Hospital, Toronto, Ontario, Canada|Princess Margaret Hospital, Toronto, Ontario, Canada|Maisonneuve-Rosemont Hospital, Montreal, Quebec, Canada|Hopital Enfant-Jesus, Quebec, Canada|Hopital du Saint-Sacrement, Quebec, Canada|Universia degli Studi di Pesaro, Pesaro, PU, Italy|IRCCS Policlinico San Matteo, Pavia, Italy|Kantonsspital Basel, Basel, Switzerland|Barts & London School of Medicine, London, England, United Kingdom|John Radcliffe Hospital, Headington, Oxford, United Kingdom|Bristol Royal Hospital for Children, Bristol, UK, United Kingdom|Glasgow Royal Infirmary, Glasgow, UK, United Kingdom|Leeds General Infirmary, Leeds, UK, United Kingdom",,https://ClinicalTrials.gov/show/NCT00366145
20,129,NCT04953572,Treatment of Cartilage Defects With Peripheral Blood Stem Cells,,Not yet recruiting,No Results Available,Cartilage Injury,Genetic: autologous peripheral blood mesenchymal stem cell|Procedure: Microfracture|Combination Product: Microfracture + collagen membrane|Procedure: Autologous osteochondral transplantation,Magnetic Resonance Imaging in the 6th month after surgery|Magnetic Resonance Imaging in the 12th month after surgery|Magnetic Resonance Imaging in the 24th month after surgery|The Western Ontario and McMaster Universities (WOMAC) Osteoarthritis Index|International knee documentation committee (IKDC) Knee Joint Score Sheet,Peking University Third Hospital|Inner Mongolia People's Hospital|Hebei Medical University Third Hospital|Tianjin Hospital,All,18 Years to 60 Years   (Adult),Phase 1,252,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,PekingUTH001,"August 1, 2021","December 31, 2023","December 31, 2023","July 8, 2021",,"July 8, 2021","Institute of Sports Medicine, Peking University Third Hospital, Beijing, Beijing, China",,https://ClinicalTrials.gov/show/NCT04953572
21,40,NCT04104412,The Safety/Efficacy Study of Human Umbilical Cord Mesenchymal Stem Cells Therapy (19#iSCLife®-LDP) for Lumbar Discogenic Pain,,Recruiting,No Results Available,Lumbar Discogenic Pain,Biological: human umbilical cord mesenchymal stem cell,Validity evaluation by detection the change of the VAS pain score relief rate for Lumbar disc pain of participants in different time point and compare with the VAS pain score before treatment|Observe treatment|Safety evaluation by detecting adverse events and serious adverse events|Safety evaluation by detecting Activated partial thromboplastin time (APTT)|Safety evaluation by detecting Prothrombin time (PT)|Safety evaluation by detecting Fibrinogen|Safety evaluation by detecting Thrombin time (TT),"Sclnow Biotechnology Co., Ltd.",All,"18 Years and older   (Adult, Older Adult)",Phase 1,242,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,SCLnow-XW-01,"August 15, 2019","December 31, 2022","December 31, 2024","September 26, 2019",,"February 14, 2022","Xuanwu Hospital Capital Medical University, Beijing, Beijing, China",,https://ClinicalTrials.gov/show/NCT04104412
