,location
1184,"Stanford University, Stanford, California, United States"
1185,"Stanley C Jones, Houston, Texas, United States"
1186,"Stem Cell Institute, Panama City, Panama"
1187,"Stem Cell laboratory, Jinnah Burn & Reconstructive Surgery Centre, Lahore, Punjab, Pakistan"
1188,"Stem cell therapy center,Fuzhou General Hospital, Fuzhou, Fujian, China"
1189,"Stony Brook Heart Institute, Stony Brook, New York, United States"
1190,"Stony Brook University Medical Center, Stony Brook, New York, United States"
1191,"Stroke Unit, University Hospital of Grenoble, Grenoble, France"
1192,"Studienambulanz Dr. Schubert Leipzig, Leipzig, Germany"
1193,"Studienambulanz Leipzig, medamed GmbH, Leipzig, Germany"
1194,"Sunshine Hospital, Saint Albans, Victoria, Australia"
1195,"Swedish Heart and Vascular Institute, Seattle, Washington, United States"
1196,"Syddansk Universitet SDU (University Hospital of Southern Denmark), Odense, Denmark"
1197,"Sydney Local Health District, Sydney, New South Wales, Australia"
1198,"Syrentis Clinical Research, Santa Ana, California, United States"
1199,"TPCH, Brisbane, Queensland, Australia"
1200,"TRIA Orthopaedic Center, Bloomington, Minnesota, United States"
1201,"Taipei Medical University - Shuang Ho Hospital, Ministry of Health and Welfare., New Taipei City, Taiwan"
1202,"Taipei Medical University Hospital, Taipei, Taiwan"
1203,"Taipei Veterans General Hospital, Taipei, Taiwan"
1204,"Tampa Pain Relief Center, Tampa, Florida, United States"
1205,"Teknon Medical Center, ITRT, Barcelona, Spain"
1206,"Tel Aviv Sourasky MC, Tel Aviv, Israel"
1207,"Teradan Clinical Trials LLC, Brandon, Florida, United States"
1208,"Texas Arthritis Research Center, San Antonio, Texas, United States"
1209,"Texas Cancer Center at Medical City, Dallas, Texas, United States"
1210,"Texas Heart Institue, Houston, Texas, United States"
1211,"Texas Heart Institute, Houston, Texas, United States"
1212,"Texas Medical School, Houston, Texas, United States"
1213,"Texas Research Center, San Antonio, Texas, United States"
1214,"Texas Transplant Institute, San Antonio, Texas, United States"
1215,"The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School, Nanjing, Jiangsu, China"
1216,"The Alfred Hospital, Melbourne, Victoria, Australia"
1217,"The Cancer Center at Hackensack University, Hackensack, New Jersey, United States"
1218,"The Care Group, Indianapolis, Indiana, United States"
1219,"The Carl and Edyth Lindner Center for Research and Education at The Christ Hospital, Cincinnati, Ohio, United States"
1220,"The Catholic University of Korea Seoul St. Mary's Hospital, Seoul, Korea, Republic of"
1221,"The Catholic University of Korea, Seoul ST. Mary's Hospital, Seoul, Korea, Republic of"
1222,"The Center for Pain Relief, Inc., Charleston, West Virginia, United States"
1223,"The Center of Clinical Research, LLC, Winston-Salem, North Carolina, United States"
1224,"The Central Hospital of Wuhan, Wuhan, Hubei, China"
1225,"The Children's Hospital at Montefiore, New York, New York, United States"
1226,"The Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States"
1227,"The Emory Clinic, Atlanta, Georgia, United States"
1228,"The Feinstein Institute for Medical Research, Manhasset, New York, United States"
1229,"The Fifth Affiliated Hospital Immunotherapy center, Guangzhou, Guangdong, China"
1230,"The First Affiliated Hospital of Nanjing Medical University, Jiangsu Province Hospital, Nanjing, Jiangsu, China"
1231,"The First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan, China"
1232,"The First Hospital of Lanzhou University, Lanzhou, Gansu, China"
1233,"The GW Medical Faculty Associates, Washington, District of Columbia, United States"
1234,"The Heart Centre, Rigshospitalet University Hospital Copenhagen,, Copenhagen, Denmark"
1235,"The John Paul II Hospital, Cracovia, Poland"
1236,"The Lindner Clinical Trial Center, Cincinnati, Ohio, United States"
1237,"The Lindner Research Center, Cincinnati, Ohio, United States"
1238,"The Mount Sinai Hospital, New York, New York, United States"
1239,"The Ohio State University Medical Center, Columbus, Ohio, United States"
1240,"The Ottawa Hospital - General Campus, Ottawa, Ontario, Canada"
1241,"The Ottawa Hospital, Ottawa, Ontario, Canada"
1242,"The Prince Charles Hospital, Brisbane, Queensland, Australia"
1243,"The Republican Center for Research and Practice in Otolaryngology, Minsk, Belarus"
1244,"The Republican Research and Practical Center for Epidemiology and Microbiology, Minsk, Belarus"
1245,"The Second Affiliated hospital of Zhejiang University School of Medicine, Hangzhou, China"
1246,"The Spine Institute, Santa Monica, California, United States"
1247,"The Stern Cardiovascular Center, Germantown, Tennessee, United States"
1248,"The Strelitz Diabetes Center, Eastern VA Medical School, Norfolk, Virginia, United States"
1249,"The Third Affiliated Hospital Of Sun Yat-sen University, Guangzhou, Guangdong, China"
1250,"The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China"
1251,"The Third Hospital of Mianyang, Mianyang, Sichuan, China"
1252,"The University Hospital in Cracow, Cracovia, Poland"
1253,"The University of Texas Health Science Center at Houston, Houston, Texas, United States"
1254,"The University of Texas Southwestern Medical Center, Dallas, Texas, United States"
1255,"The Western Pennsylvania Hospital, Pittsburgh, Pennsylvania, United States"
1256,"Thomas Jefferson University, Philadelphia, Pennsylvania, United States"
1257,"Tianjin Medical University General Hospital, Tianjin, Tianjin, China"
1258,"Tianjin Medical University Hospital, Tianjin, China"
1259,"Tianjin Weikai Bioeng., Ltd., Tianjin, Tianjin, China"
1260,"Timeless Chirurgia Plastyczna Sp. z o. o., Warsaw, Poland"
1261,"Tisch MS Research Center of New York, New York, New York, United States"
1262,"Tissular and cell therapy unit, UniversityHospitalof Grenoble, Grenoble, France"
1263,"Tongji Hospital, Tongji Medical College, Huazhong University of Science & Technology, Wuhan, Hubei, China"
1264,"Toronto General Hospital, Toronto, Ontario, Canada"
1265,"Toronto Western Hospital, Toronto, Ontario, Canada"
1266,"Trabzon Kanuni Training and Research Hospital, University of Healthy Sciences, Trabzon, Yomra, Turkey"
1267,"Transfiguration Clinic, Yekaterinburg, Sverdlovsk Oblast, Russian Federation"
1268,"Trauma Service. Hospital Universitario de Salamanca, Salamanca, Castilla-León, Spain"
1269,"Traumatology department. Complejo Hospitalario de Salamanca, Salamanca, Castilla y León, Spain"
1270,"Tri-Service General Hospital, Taipei City, Taiwan"
1271,"TriWest Research Associates, El Cajon, California, United States"
1272,"Triangle Orthopaedics Associates, P.A., Durham, North Carolina, United States"
1273,"Triwest Research Associates, El Cajon, California, United States"
1274,"Tufts Medical Center, Boston, Massachusetts, United States"
1275,"Tufts New England Medical Center, Boston, Massachusetts, United States"
1276,"Tufts-New England Medical Center, Boston, Massachusetts, United States"
1277,"Tulane University Medical Center, New Orleans, Louisiana, United States"
1278,"U.O. Nefrologia e Dialisi, Bergamo, Italy"
1279,"U.S.C Nefrologia e Dialisi, Bergamo, Italy"
1280,"UAB School of Dentistry Department of Periodontology, Birmingham, Alabama, United States"
1281,"UC Davis Health, Sacramento, California, United States"
1282,"UC Davis Medical Center, Sacramento, California, United States"
1283,"UC Davis Spine Center, Sacramento, California, United States"
1284,"UCLA Medical Center, Los Angeles, California, United States"
1285,"UCLA, Los Angeles, California, United States"
1286,"UCSF Benioff Children's Hospital, San Francisco, California, United States"
1287,"UH Angers, Angers, France"
1288,"UH Besançon Jean Minjoz, Besancon, France"
1289,"UH Brest Cavale Blanche, Brest, France"
1290,"UH Clermont Ferrand Gabriel Montpied, Clermont Ferrand, France"
1291,"UH Grenoble Michallon Hospital, Grenoble, France"
1292,"UH Grenoble South Hospital, Grenoble, France"
1293,"UH Hospitals Cleveland, Cleveland, Ohio, United States"
1294,"UH Montpellier, Montpellier, France"
1295,"UH Nancy Central Hospital, Nancy, France"
1296,"UH Nantes Hôtel Dieu, Nantes, France"
1297,"UH Pitié Salpétrière AH HP, Paris, France"
1298,"UH Tours CHRU Trousseau, Tours, France"
1299,"UHHS Chagrin Highlands Medical Center, Cleveland, Ohio, United States"
1300,"UHHS Westlake Medical Center, Cleveland, Ohio, United States"
1301,"UHTOURS, Tours, France"
1302,"UMC Utrecht, department of pediatrics, Utrecht, Netherlands"
1303,"UMCU department of Haematology, Utrecht, Netherlands"
1304,"UMCU, Utrecht, Netherlands"
1305,"UMDNJ - Robert Wood Johnson Medical School, New Brunswick, New Jersey, United States"
1306,"UMass Medical School, Worcester, Massachusetts, United States"
1307,"UMass Memorial Medical Center, Worcester, Massachusetts, United States"
1308,"UNM Hospital, Albuquerque, New Mexico, United States"
1309,"UPMC, Pittsburgh, Pennsylvania, United States"
1310,"USC Chirurgia Generale III, Bergamo, Italy"
1311,"USC Ematologia, Bergamo, Italy"
1312,"USC Gastroenterologia, Bergamo, Italy"
1313,"UT Health San Antonio, San Antonio, Texas, United States"
1314,"UTCT, Hôpital Brabois, Vandoeuvre-les-Nancy, France"
1315,"UZ Gent, Gent, Flanders Ost, Belgium"
1316,"UZA, Edeghem, Antwerpen, Belgium"
1317,"Uhmontpellier, Montpellier, France"
1318,"Ulm University Hospital, Clinic of Anesthesiology and Intensive Care Medicine, Ulm, Germany"
1319,"Umut Arslan, Ankara, Turkey"
1320,"Umut Arslan, Ankara, Türkiye, Turkey"
1321,"Unidad de Terapia Celular del Instituto de Investigaciones Científicas, San Antonio de los Altos, Miranda, Venezuela"
1322,"Uniklinik Koeln, Koeln, North Rhine-Westphalia, Germany"
1323,"Union Hospital,Fujian Medical University, Fuzhou, Fujian, China"
1324,"Unità Chirurgia Generale e Trapianti, Bologna, Italy"
1325,"Univ.-Klinik Innsbruck, Innsbruck, Austria"
1326,"Univeristy of California San Francisco, San Francisco, California, United States"
1327,"Univeristy of Iowa Hospitals and Clinics, Iowa City, Iowa, United States"
1328,"Univeristy of Mississippi Medical Center, Jackson, Mississippi, United States"
1329,"Univeristy of Texas Southwestern Medical Center, Dallas, Texas, United States"
1330,"Universia degli Studi di Pesaro, Pesaro, PU, Italy"
1331,"Universidad Complutense De Madrid, Madrid, Calle Fernando De Castro Rodriguez,, Spain"
1332,"Universidad de Chile Clinical Hospital, Santiago, Independencia, Chile"
1333,"Universidad de los Andes, Santiago de Chile, Chile"
1334,"Universidad de los Andes, Santiago, Chile"
1335,"Universidade Federal do Rio de Janeiro, Rio de Janeiro, RJ, Brazil"
1336,"Universidade de São Paulo, São Paulo, SP, Brazil"
1337,"Universitaet Duisburg-Essen - Universitaetsklinikum Essen - Klinik fuer Knochenmarktransplantation (KMT), Essen, North Rhine-Westphalia, Germany"
1338,"Universitaetsklinikum Essen, Essen, Germany"
1339,"Universitaetsklinikum Jena, Jena, Thüringen, Germany"
1340,"Universitaetsklinikum Wuerzburg - Medizinische Klinik und Poliklinik II - Zentrum fuer Allogene Blutstammzelltransplantation, Würzburg, Bavaria, Germany"
1341,"Universitair Medisch Centrum Utrecht, Utrecht, Netherlands"
1342,"Universitas Indonesia, Jakarta Pusat, DKI Jakarta, Indonesia"
1343,"Universitat Internacional De Catalunya, Barcelona, Spain"
1344,"Universitatklinikum Freiburg, Freiburg, Germany"
1345,"Universitatsklinikum Carl Gustav Carus Dresden, Dresden, Sachsen, Germany"
1346,"Universitatsklinikum Jena, Jena, Thüringen, Germany"
1347,"Universitatsklinikum Muenster, Münster, Nordrhein-Westfalen, Germany"
1348,"University Children's Hospital, Tübingen, Germany"
1349,"University Clinical Hospital of Salamanca, Salamanca, Salamanca/Castilla León, Spain"
1350,"University College London Hospital, London, United Kingdom"
1351,"University College London Institute of Neurology, London, United Kingdom"
1352,"University Hospital (Rangueil), Toulouse, France"
1353,"University Hospital Birmingham NHS Foundation Trust - Queen Elizabeth Medical Centre, Birmingham, United Kingdom"
1354,"University Hospital Bonn, Medizinische Klinik III, Bonn, Germany"
1355,"University Hospital Cleveland Medical Center, Cleveland, Ohio, United States"
1356,"University Hospital Dresden, Orthopaedic Department, Dresden, Germany"
1357,"University Hospital La Paz, Madrid, Spain"
1358,"University Hospital Liege, Liege, Belgium"
1359,"University Hospital Maastricht, Maastricht, Limburg, Netherlands"
1360,"University Hospital Reina Sofia, Córdoba, Spain"
1361,"University Hospital Río Hortega, Valladolid, Spain"
1362,"University Hospital Tuebingen Medical Center, Tuebingen, Germany"
1363,"University Hospital Tuebingen, Tuebingen, Germany"
1364,"University Hospital Virgen Macarena, Sevilla, Spain"
1365,"University Hospital Virgen Macarena, Seville, Spain"
1366,"University Hospital and Medical Center, Stony Brook, New York, United States"
1367,"University Hospital of Salamanca, Salamanca, Castilla y León, Spain"
1368,"University Hospital, Newark, New Jersey, United States"
1369,"University Hospitals Cleveland Medical Center, Case Comprehensive Cancer Center, Cleveland, Ohio, United States"
1370,"University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States"
1371,"University Medical Center Mainz, Mainz, Germany"
1372,"University Medical Center Utrecht, Utrecht, Netherlands"
1373,"University Medical Center, New Orleans, Louisiana, United States"
1374,"University Multiprofile Hospital for Active Treatment 'Alexandrovska' EAD, Sofia, Bulgaria"
1375,"University Orthopedics Center, State College, Pennsylvania, United States"
1376,"University Regional Hospital Carlos Haya, Málaga, Spain"
1377,"University Suburban Health Center, Cleveland, Ohio, United States"
1378,"University at Buffalo - Buffalo General Hospital, Buffalo, New York, United States"
1379,"University hospital of Grenoble, Grenoble, France"
1380,"University hospital of Henri Mondor, Créteil, France"
1381,"University hospital of Lille, Lille, France"
1382,"University hospital of Nantes, Nantes, France"
1383,"University hospital of North Norway, Tromsø, Troms Og Finnmark, Norway"
1384,"University hospital of Pitié-Salpêtrière, Paris, France"
1385,"University of Alabama Birmingham (UAB) Hospital, Birmingham, Alabama, United States"
1386,"University of Alabama at Birmingham, Birmingham, Alabama, United States"
1387,"University of Alabama, Birmingham, Alabama, United States"
1388,"University of Alabama, Division of Endocrinology & Metabolism, Birmingham, Alabama, United States"
1389,"University of Alberta Hospital, Edmonton, Alberta, Canada"
1390,"University of Arizona, Tucson, Arizona, United States"
1391,"University of Bergen, Institute of Clonical Dentistry, Bergen, Hordaland, Norway"
1392,"University of Calgary, Calgary, Alberta, Canada"
1393,"University of California - San Diego (UCSD), San Diego, California, United States"
1394,"University of California - San Diego, San Diego, California, United States"
1395,"University of California - San Diego; Thornton, San Diego, California, United States"
1396,"University of California Davis Medical Center, Sacramento, California, United States"
1397,"University of California Irvine Alpha Stem Cell Clinic, Irvine, California, United States"
1398,"University of California Irvine Department of Neurology, Orange, California, United States"
1399,"University of California Medical Center, San Francisco, California, United States"
1400,"University of California San Diego Division of Neurological Surgery, San Diego, California, United States"
1401,"University of California San Francisco Medical Center, San Francisco, California, United States"
1402,"University of California San Francisco, San Francisco, California, United States"
1403,"University of California at San Francisco, San Francisco, California, United States"
1404,"University of California, San Diego, La Jolla, California, United States"
1405,"University of California, San Francisco, San Francisco, California, United States"
1406,"University of California-Irvine, Irvine, California, United States"
1407,"University of Cambridge Dept of Clinical Neurosciences, Cambridge, Cambridgeshire, United Kingdom"
1408,"University of Chicago Hospitals, Chicago, Illinois, United States"
1409,"University of Chicago Medical Center, Chicago, Illinois, United States"
1410,"University of Chicago, Chicago, Illinois, United States"
1411,"University of Colorado Anschutz Medical Campus, Aurora, Colorado, United States"
1412,"University of Colorado Cancer Center, Aurora, Colorado, United States"
1413,"University of Florida, Gainesville, Florida, United States"
1414,"University of Florida-Department of Medicine, Gainesville, Florida, United States"
1415,"University of Health Sciences, Istanbul, Turkey"
1416,"University of Illinois - Chicago, Chicago, Illinois, United States"
1417,"University of Illinois, Department of Ophthalmology and Visual Sciences, Chicago, Illinois, United States"
1418,"University of Iowa Hospitals and Clinics, Iowa City, Iowa, United States"
1419,"University of Kansas Medical Center, Kansas City, Kansas, United States"
1420,"University of Kentucky Hospital, Lexington, Kentucky, United States"
1421,"University of Kentucky, Lexington, Kentucky, United States"
1422,"University of Liège, Liège, Belgium"
1423,"University of Louisville Hospital, Louisville, Kentucky, United States"
1424,"University of Louisville, Louisville, Kentucky, United States"
1425,"University of Malaya Medical Centre, Kuala Lumpur, Malaysia"
1426,"University of Maryland Hospital, Baltimore, Maryland, United States"
1427,"University of Maryland Medical Center Medical Center, Baltimore, Maryland, United States"
1428,"University of Maryland Medical Center, Baltimore, Maryland, United States"
1429,"University of Maryland, Baltimore, Baltimore, Maryland, United States"
1430,"University of Maryland/Greenbaum, Baltimore, Maryland, United States"
1431,"University of Massachusetts Medical School, Worcester, Massachusetts, United States"
1432,"University of Miami Hospitals & Clinics, Miami, Florida, United States"
1433,"University of Miami Miller School of Medicine, Miami, Florida, United States"
1434,"University of Miami School of Medicine, Miami, Florida, United States"
1435,"University of Miami, Miami, Florida, United States"
1436,"University of Miami-Interdiciplinary Stem Cell Institute, Miami, Florida, United States"
1437,"University of Miami-Interdisciplinary Stem Cell Institute, Miami, Florida, United States"
1438,"University of Minnesota Hospital, Minneapolis, Minnesota, United States"
1439,"University of Minnesota Masonic Cancer Center and Medical Center, Minneapolis, Minnesota, United States"
1440,"University of Minnesota Medical Center, Saint Paul, Minnesota, United States"
1441,"University of Minnesota, Masonic Cancer Center and Medical Center, Minneapolis, Minnesota, United States"
1442,"University of Minnesota, Minneapolis, Minnesota, United States"
1443,"University of Mississippi Medical Center, Jackson, Mississippi, United States"
1444,"University of Mississippi, Jackson, Mississippi, United States"
1445,"University of Modena and Reggio Emilia, Modena, Italy"
1446,"University of Nebraska, Omaha, Nebraska, United States"
1447,"University of Nevada School of Medicine, Reno, Nevada, United States"
1448,"University of New Mexico School of Medicine, Albuquerque, New Mexico, United States"
1449,"University of North Carolina Diabetes Care Center, Chapel Hill, North Carolina, United States"
1450,"University of North Carolina Hospitals, Chapel Hill, North Carolina, United States"
1451,"University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States"
1452,"University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, United States"
1453,"University of Otago, Christchurch, New Zealand"
1454,"University of Pennsylvania Medical Center, Philadelphia, Pennsylvania, United States"
1455,"University of Pittsburgh Cancer Centers, Pittsburgh, Pennsylvania, United States"
1456,"University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States"
1457,"University of Pittsburgh, Pittsburgh, Pennsylvania, United States"
1458,"University of Rochester - Strong Memorial, Rochester, New York, United States"
1459,"University of Rochester Medical Center, Rochester, New York, United States"
1460,"University of Rochester, Rochester, New York, United States"
1461,"University of Southern California Keck School of Medicine, Los Angeles, California, United States"
1462,"University of Southern California University Hospital, Los Angeles, California, United States"
1463,"University of Southern California, Los Angeles, California, United States"
1464,"University of Texas Health Science Center, Houston, Texas, United States"
1465,"University of Texas MD Anderson Cancer Center, Houston, Texas, United States"
1466,"University of Texas Medical Branch, Galveston, Texas, United States"
1467,"University of Texas Rio Grande Valley School of Medicine, Harlingen, Texas, United States"
1468,"University of Utah Orthopaedic Center, Salt Lake City, Utah, United States"
1469,"University of Utah, Salt Lake City, Utah, United States"
1470,"University of Utah/Heart Center-Primary Children's Hospital, Salt Lake City, Utah, United States"
1471,"University of Vermont, Burlington, Vermont, United States"
1472,"University of Virginia, Charlottesville, Virginia, United States"
1473,"University of Wisconsin Carbone Cancer Center, Madison, Wisconsin, United States"
1474,"University of Wisconsin Health- West Clinic, Madison, Wisconsin, United States"
1475,"University of Wisconsin Madison, Madison, Wisconsin, United States"
1476,"University of Wisconsin School of Medicine, Madison, Wisconsin, United States"
1477,"University of Wisconsin, Madison, Wisconsin, United States"
1478,"University of hospital Bonn, Bonn, Germany"
1479,"UniversitÃ¤tsklinikum Mannheim, Mannheim, Germany"
1480,"Università Cattolica del Sacro Cuore, Rome, Italy"
1481,"Universitätsklinikum ""Carl Gustav Carus"" der Technischen Universität Dresden, Medizinische Klinik und Poliklinik III Angiologie und Gefäßzentrum, Dresden, Germany"
1482,"Universitätsklinikum Augsburg, Klinik für Dermatologie und Allergologie, Campus Süd, Augsburg, Germany"
1483,"Universitätsklinikum Düsseldorf, Heinrich-Heine-Universität Düsseldorf, Klinik für Dermatologie, Düsseldorf, Germany"
1484,"Universitätsklinikum Erlangen, Hautklinik - Wundzentrum Dermatologie, Erlangen, Germany"
1485,"Universitätsklinikum Erlangen, Hautklinik, Erlangen, Germany"
1486,"Universitätsklinikum Essen, Klinik und Poliklinik für Dermatologie, Venerologie und Allergologie, Essen, Germany"
1487,"Universitätsklinikum Frankfurt, Department of Trauma, Hand and Reconstructive Surgery, Frankfurt, Germany"
1488,"Universitätsklinikum Freiburg, Klinik für Dermatologie und Venerologie, Freiburg, Germany"
1489,"Universitätsklinikum Freiburg, Klinik für Orthopädie und Unfallchirurgie, Freiburg, Germany"
1490,"Universitätsklinikum Hamburg- Eppendorf, Institut für Versorgungsforschung in der Dermatologie und bei Pflegeberufen (IVDP), Hamburg, Germany"
1491,"Universitätsklinikum Leipzig AöR, Klinik und Poliklinik für Dermatologie, Venerologie und Allergologie, Leipzig, Germany"
1492,"Universitätsklinikum München, Munich, Germany"
1493,"Universitätsklinikum Münster, Klinik für Hautkrankheiten, Allgemeine Dermatologie und Venerologie, Münster, Germany"
1494,"Universitätsklinikum Tübingen, Universitäts-Hautklinik Tübingen, Tübingen, Germany"
1495,"Universitätsklinikum Ulm, Klinik für Dermatologie und Allergologie, Ulm, Germany"
1496,"Universitätsklinikum Würzburg, Klinik und Poliklinik für Dermatologie, Venerologie und Allergologie, Würzburg, Germany"
1497,"Universitätsmedizin Greifswald; Klinik und Poliklinik für Hautkrankheiten, Greifswald, Germany"
1498,"Universitätsmedizin Rostock, Klinik und Poliklinik für Dermatologie und Venerologie, Rostock, Germany"
1499,"Uniwersyteckie Centrum Kliniczne, KliniczneCentrum Kardiologii, Gdansk, Poland"
1500,"Unlimited Research, San Antonio, Texas, United States"
1501,"Uppsala University Hospital, Uppsala, Sweden"
1502,"Upstate Pharmaceutical Research, Greenville, South Carolina, United States"
1503,"Ural Center of Modern Nanotechnologies, Institute of Natural Sciences, Ural Federal University, Yekaterinburg, Sverdlovsk Oblast, Russian Federation"
1504,"Ural Institute of Cardiology, Yekaterinburg, Sverdlovsk Oblast, Russian Federation"
1505,"VA Healthcare System, San Francisco, San Francisco, California, United States"
1506,"VUMC, Amsterdam, Netherlands"
1507,"Valden Medical, Honolulu, Hawaii, United States"
1508,"Vanderbilt University Medical Center, Nashville, Tennessee, United States"
1509,"Vanderbuilt University Medical Center Diagnostic Laboratory, Nashville, Tennessee, United States"
1510,"Venenzentrum der Dermatologischen und Gefäßchirurgischen Kliniken, Kliniken der Ruhr-Universität Bochum im St. Maria Hilf Krankenhaus, Bochum, Germany"
1511,"Venture Research Institute, Miami, Florida, United States"
1512,"Vermont Lung Center, University of Vermont, Burlington, Vermont, United States"
1513,"Veteran's Administration Medical Center (does not require vet status), Long Beach, California, United States"
1514,"Vinmec International Hospital Times City, Hà Nội, Hanoi, Vietnam"
1515,"Vinmec Research Institute of Stem Cell and Gene Technology, Hanoi, Vietnam"
1516,"Virgen del Rocio University Hospital, av. Manuel Siurot s/n, Sevilla, Spain"
1517,"Virgen del Rocío University Hospital, Seville, Spain"
1518,"Virginia Commonwealth University, Richmond, Virginia, United States"
1519,"Virginia Commonwealth/Massey Cancer Center, Richmond, Virginia, United States"
1520,"Virginia Spine Research Institute, Inc., Richmond, Virginia, United States"
1521,"Virginia iSpine Physicians, Richmond, Virginia, United States"
1522,"Vista Health Research, Miami, Florida, United States"
1523,"Waikato Hospital, Hamilton, New Zealand"
1524,"Wake Forest Baptist Medical Center, Winston-Salem, North Carolina, United States"
1525,"Wake Forest Univeristy School of Medicine, Winston-Salem, North Carolina, United States"
1526,"Wake Forest University School of Medicine, Winston-Salem, North Carolina, United States"
1527,"Wake Forest University, Winston-Salem, North Carolina, United States"
1528,"Walnut Creek, California, United States"
1529,"Wasatch Clinical Research, Salt Lake City, Utah, United States"
1530,"Washington Adventist, Takoma Park, Maryland, United States"
1531,"Washington Center for Pain Management, Edmonds, Washington, United States"
1532,"Washington Hospital Center, Washington, District of Columbia, United States"
1533,"Washington University School of Medicine, Saint Louis, Missouri, United States"
1534,"Washington University, Saint Louis, Missouri, United States"
1535,"Weill Cornell Medical College, New York, New York, United States"
1536,"West Coast Clinical Trials (WCCT), Cypress, California, United States"
1537,"West Houston Clinical Research Services, Houston, Texas, United States"
1538,"West Tennessee Research Institute, Jackson, Tennessee, United States"
1539,"Western Galilee Hospital, Nahariya, Israel"
1540,"Western Pennsylvania Cancer Institute, Pittsburgh, Pennsylvania, United States"
1541,"Western Pennsylvania Hospital, Pittsburgh, Pennsylvania, United States"
1542,"Western States Clinical Research, Wheat Ridge, Colorado, United States"
1543,"Westmead Hospital, Westmead, New South Wales, Australia"
1544,"Wilhelmina Childrens Hostpital/University Medical Center Utrecht, Utrecht, Netherlands"
1545,"William Beaumont Hospital, Royal Oak, Michigan, United States"
1546,"Winship Cancer Institute of Emory University, Atlanta, Georgia, United States"
1547,"Wonju Severance Christian Hospital, Wonju, Korea, Republic of"
1548,"Wonju Severance Christian Hospital, Wŏnju, Korea, Republic of"
1549,"Wuhan Huoshenshan Hospital, Wuhan, Hubei, China"
1550,"Xiangya Hospital Central South University, Changsha, Hunan, China"
1551,"Xuanwu Hospital Capital Medical University, Beijing, Beijing, China"
1552,"Yale New Haven Hospital, New Haven, Connecticut, United States"
1553,"Yan'an Hospital of Kunming City, Kunming, China"
1554,"Yantai Yuhuangding Hospital, Yantai, Shandong, China"
1555,"Yeungnam University Hospital, Daegu, Korea, Republic of"
1556,"Yongin Severance Hospital, Gyeonggi-do, Korea, Republic of"
1557,"Yongin Severance Hospital, Yongin, Korea, Republic of"
1558,"Yonsei Cardiovascular Center and Cardiovascular Research Institute, Yonsei University College of Medicine, Seoul, Korea, Republic of"
1559,"Yonsei University College of Medicine, Seoul, Korea, Republic of"
1560,"Yonsei University Health System, Seoul, Korea, Republic of"
1561,"Yonsei University Wonju College of Medicine, Wonju Christian Hospital, Wonju, Gangwon-do, Korea, Republic of"
1562,"Yunfei Chen, Tianjin, Tianjin, China"
1563,"Z Urology, Coral Springs, Florida, United States"
1564,"Zhongnan Hospital of Wuhan University, Wuhan, Hubei, China"
1565,"Zhongshan Ophthalmic Center, Guangzhou, Guangdong, China"
1566,"Zhujiang Hospital, Southern Medical University, Guangzhou, Guangdong, China"
1567,"Ziv Medical Center - Heart Institute, Safed, Israel"
1568,"Zuckerberg San Francisco General Hospital and Trauma Center, San Francisco, California, United States"
1569,nan
1570,"nantes University Hospital, Nantes, France"
1571,"pro scientia med im Mare Klinikum, Department Klinische Forschung und Entwicklung, Kronshagen, Germany"
1572,"pro scientia med im Mare Klinikum; Department Klinische Forschung und Entwicklung, Kiel, Germany"
1573,"the Belarusian Medical Academy of Postgraduate Education, Minsk, Belarus"
1574,"the southwest Hospital, Chongqing, Chongqing, China"
1575,"Ｉｎstitute of Biomedical Research and Innovation, Kobe, Hyogo Pref., Japan"
