,Outcome Measures,count,enrolled
702,Post-Percutaneous Coronary Intervention (PCI) coronary artery endothelial function as assessed via CFR|Post-PCI coronary artery endothelial function as assessed via FFR|Target lesion lumen loss|Flow Mediated Diameter Percentage (FMD%)|EPC-CFUs levels|Circulating angiogenic factors marker levels|Circulating inflammatory markers|Seattle Angina Questionnaire (SAQ) Angina Frequency|EuroQol(EQ)-5 Dimension (5D) Quality of Life Questionnaire|EQ-5D Quality of life Questionnaire Overall Health Status Question|Short Form (SF) 36 Questionnaire Quality of Life Questionnaire|International Index of Erectile Function (IIEF) Questionnaire|Sexual Quality of Life - Females (SQOL-F) Questionnaire|Incidence of Treatment-Emergent Serious Adverse Events (TE-SAE)|Incidence of Major Adverse Cardiac Events (MACE)|Rates of Adverse Events|Number of participants with abnormal lab values|Number of participants with Target Vessel Failure,1,30
703,"Safety and tolerability measured as seriousness, severity and frequency of treatment related adverse events.|Number of fractures.|Time (days) to first fracture after each stem cell administration.|Numbers of fractures at birth.|Change in bone-marrow density (g/cm2).|Growth (cm).|Growth (kg).|Change in clinical status of OI.|Assessment of biochemical bone turnover by analysis of the markers P-Calcium, P-Phosphate, P-Albumin, S-ALP, fP-PTH, S-25-OH Vitamin D, Bone specific S-ALP, S-CTx, S-Osteocalcin and U-DPD/Krea and U-NTx/Krea in blood and urine samples.",1,30
704,Safety: Complications related to the medicinal product application - new neurological deficit and occurrence of other adverse events|Efficacy: Inhibition of the disease progression - ALS functional rating scale|Efficacy: Inhibition of the disease progression - Norris scale|Efficacy: Inhibition of the disease progression - Forced vital capacity (FVC),1,26
705,MRI scan|WOMAC score|WOMAC sub-scale|Kellgren & Lawrence grade|EQ5D|ROM|KOOS (Knee Injury & Osteoarthritis Outcome Score)|PGIC(Patient Global Impression of Change)|PSQI(Pittsburgh Sleep Quality Index)|Biomarkers|Incidence of adverse reactions and characteristics associated with investigational product,1,26
706,"Nature, incidence and severity of adverse events (AEs)",1,25
707,Evaluation of damage generated by acute or chronic GvHD on the MSCs after HSCT,1,25
708,Collection of adverse events|Safety laboratory values|ECG findings|Analysis of inflammation markers|Comparison of course of haemodynamic and vascular processes,1,25
709,Safety and tolerability|Pain and disability evolution|Evolution of affected disc(s) by quantitative Magnetic Resonance Imaging (RMI)|Llife quality evolution (Short Form (SF)-12 questionnaire),1,25
710,Number of Participants With Adverse Reaction (AE) and Severe Adverse Reaction (SAE),1,24
711,"Active range of motion (AROM) pre-surgery|Active range of motion (AROM) at 12 months follow-up|Pain pre-surgery|Pain at follow-up 12 months|Disabilities of the Arm, Shoulder, and Hand (DASH) score pre-surgery|Disabilities of the Arm, Shoulder, and Hand (DASH) score at follow-up 12 months|Constant-Murley Score (CS) pre-surgery|Constant-Murley Score (CS) at follow-up 12 months|Tear recurrence (re-tear)",1,24
712,WOMAC score|WOMAC 3 subscale|KOOS (Knee Injury & Osteoarthritis Outcome Score)|SF(Short Form)-36 Score|Global assessment of disease activity|Overall satisfaction|X-ray|MRI scan|Arthroscopy evaluation|Histological evaluation|VAS|IKDC|ROM|Quadriceps power|effusion|Crepitus|Ligament laxity|Medial joint line tenderness|Pes tenderness,1,24
713,Adverse reaction (AE) and severe adverse reaction (SAE)|Time to clinical improvement (TTIC)|Number of patients weaning from mechanical ventilation|Duration (days) of ICU monitoring|Duration (days) of vasoactive agents usage|Duration (days) of mechanical ventilation supply|Number of patients with improved organ failure|Rate of mortality,1,24
714,Safety|Number of patients reaching clinical union of fracture,1,24
715,"Change of Pain During Activity From Baseline to 3 Months After Intervention|Pain During Rest|Pain During Activity|American Shoulder and Elbow Surgeons (ASES) Shoulder Score|Disability of Arm, Shoulder and Hand (DASH) Score|University of California, Los Angeles(UCLA) Shoulder Score|Tear Size at 3 Months After Injection|Tear Size at 12 Months After Injection",1,24
716,Treatment related adverse events|Complete clinical healing|Clinical response|Partial clinical response|Lack of response|Crohn's disease activity index|Inflammatory bowel disease questionnaire|EuroQol 5 Dimensions survey|Inflammatory bowel disease patient reported treatment impact survey|Short Form 36 health survey,1,24
717,Irregular menstruation patients efficacy evaluation|Intrauterine adhesion patients efficacy evaluation,1,24
718,"Validation of the cell-free approach based on the use of ASC secretome on an ex vivo OA model by evaluation of cell viability, histological features and gene/protein expression of cartilage and bone biomarkers",1,24
719,Serum albumin in g/L|alanine aminotransferase in U/L|aspartate aminotransferase in U/L|cholinesterase in U/L|Total bilirubin in μmol/L|Direct bilirubin in μmol/L|Serum cholesterol in mmol/L|Prothrombin activity in percentage|Antithrombin in mg/L|survival rate|Child-Pugh grade|Rate of weight change|Ascites|clinical symptoms|Th1 cells in percentage|Th2 cells in percentage|Natural killer T cells in percentage|Interleukin-1β cells in pg/mL|Interleukin-4 cells in pg/mL|Interleukin-6 cells in pg/mL|Interleukin-8 cells in pg/mL|Interleukin-12 cells in pg/mL|Interleukin-15 cells in pg/mL|Interleukin-17A cells in pg/mL|Medical images|The Medical outcomes study 36-item Short Form Health Survay scale (SF-36 scale)|MELD score,1,24
720,Percentage of Participants who Achieve Combined Remission|Percentage of Participants who Achieve Clinical Remission|Percentage of Participants who Achieve Clinical Response|Percentage of Participants who decrease in PDAI|Percentage of Participants who decrease in IBDQ|Percentage of Participants who decrease in VAS scale|Percentage of Participants who decrease in Wexner incontinence score,1,24
721,Safety of one or multiple intrathecaland intravenous injections of autologous MSC in Multiple sclerosis|Clinical effects in terms of changes in the expended disability status scale (EDSS) at 3-6 month intervals|Immunological effects of treatment with MSC in MS,1,24
722,"To evaluate the feasibility of culturing MSCs, and infusion-related safety and tolerability of autologous MSC transplantation over one month in patients with relapsing forms of MS|To evaluate effects on MS disease activity measured by the number of Gd-enhancing brain MRI lesions|To evaluate safety and tolerability of autologous MSC transplantation over 6 months",1,24
723,Glucose|Calcium|Albumin|Total Protein|Sodium|Total carbon dioxide|Potassium|Chloride|BUN|Creatinine|Alkaline phosphatase|Alanine aminotransferase|Aspartate aminotransferase|Total Bilirubin|White blood cell|Red blood cell|Hemoglobin|Hematocrit|Mean corpuscular volume|Mean corpuscular hemoglobin|Mean corpuscular hemoglobin concentration|Red cell distribution width|Neutrophils|Lymphs|Monocytes|Eos|Basos|Absolute Neutrophils|Absolute Lymphs|Absolute monocytes|Absolute Eos|Absolute Basos|Immature Granulocytes|Absolute Immature Granulocytes|Platelets|Prothrombin Time|INR|Urine Pregnancy|Whole brain MRI|PET/DT-MRI|Glasgow Outcome Score|Galveston Orientation and Amnesia Test|Rivermead Post-Concussion Symptoms Questionnaire|Automated Neuropsychological Assessment Metrics|Verbal Selective Reminding Test|Verbal Fluency Test|Stroop|Interleukin 1-alpha|Interleukin 4|Tumor necrosis factor alpha|Interleukin 6|Interleukin 10,1,24
724,"Changes in MDS-UPDRS Part II.|Incidence of treatment-emergent Adverse Event (TEAEs).|Incidence of treatment-emergent Serious Adverse Events (SAEs).|AEs of special interest (serious or non-serious) - thromboembolic events.|AEs of special interest (serious or non-serious) - thromboembolism of the extremities|AEs of special interest (serious or non-serious) - infections|AEs of special interest (serious or non-serious) - hypersensitivities.|Laboratory values. CBC|Laboratory values. CMP|Laboratory values. Coagulation Panel|Vital signs. - Respiratory Rate (breaths per minute)|Vital signs. - Heart Rate (beats per minute)|Vital signs. - Body Temperature (Fahrenheit )|Vital signs. - Blood Pressure (mmHg)|Weight in lb.|Physical examination results. General|Physical examination results. Body Systems.|Changes in MDS-UPDS total score.|Changes in MDS-UPDRS Part I.|Changes in MDS-UPDRS Part III.|Changes in MDS-UPDRS Part IV.|Changes in Neuro-QOL. - Communication|Changes in Neuro-QOL. - Social Roles and Activities|Changes in Neuro-QOL. - Anxiety|Changes in Neuro-QOL. - Depression|Changes in Neuro-QOL. - Dyscontrol|Changes in Neuro-QOL. - Fatigue|Changes in Neuro-QOL. - Mobility|Changes in Neuro-QOL. - Well-Being|Changes in Neuro-QOL. - Sleep|Changes in Neuro-QOL. - Fine Motor|Changes in Neuro-QOL. - Stigma|Changes in Neuro-QOL. - Social Roles|Changes in Neuro-QOL. - Cognition|Changes in Parkinson's disease fatigue scale (PFS-16).|Changes in Parkinson's disease Questionnaire (PDQ-39).|Changes in Visual Analog Scale for Pain.|Changes in Dosage of medications taken to treat Parkinson's disease.|Incidence of treatment-emergent Adverse Event (TEAEs) and serious Adverse Events (SAEs).|Incidence and risk of AEs of special interest (serious or non-serious),|Clinically significant changes in laboratory values. - CBC|Changes in Visual Analog Scale for muscle spasms.|Clinically significant changes in vital signs. - Respiratory Rate|Clinically significant changes in vital signs. - Heart Rate|Clinically significant changes in vital signs. - Body Temperature.|Clinically significant changes in vital signs. - Blood Pressure.|Clinically significant changes in vital signs. - Oxygen Saturation.|Clinically significant changes in physical examination results.|Clinically significant changes in weight in lb.|Clinically significant changes in laboratory values. - CMP|Clinically significant changes in laboratory values. - Coagulation Panel",1,24
725,"Appearance of adverse events|The changes in Expanded Disability Status Scale (EDSS) score 0-10 scale, higher scores show worsening of disability)|Changes in the percentage of CD4/CD25/FoxP3 triple positive stained cells (T regulatory cells), following MSC-treatment|Changes in the percentage of CD3+CD69+ cells (activated lymphocytes), following MSC-treatment|Changes in the percentage of CD11c+/CD86+/Lin- cells (dendritic cells and antigen-presenting macrophages), following MSC-treatment|Changes in the proliferation ability of mononuclear cells to PHA, following MSC-treatment",1,24
726,MR Elastography|The level of serum alanine aminotransferase (ALT)|Clinical Examination|The level of glomerular filtration rate (GFR)|The level of serum albumin (ALB)|The level of serum total bilirubin (TB),1,700
727,live birth rate|Reduction of intrauterine adhesion|The change of endometrial thickness|ongoing pregnant rate,1,26
728,Complication rate|complication rate|Progression of disease to the next stage|Amount of necrotic bone in the femoral head in MRI|Pain (VAS)|serum levels of bone turnover markers,1,26
729,Numeric Pain Rating Scale (NPRS)|Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC)|Goniometer (range of motion)|SF-12 (quality of life),1,26
730,"Change From Baseline on Western Ontario and McMaster Universities Arthritis Index (WOMAC) Score in JointStem Group|Change From Baseline on Visual Analog Scale (VAS) in JointStem Group|MRI Improvement Evaluation in JointStem Group|Change From Baseline on WOMAC Between JointStem and Positive Control Groups|Change From Baseline on VAS Between JointStem and Positive Control Groups|Change From Baseline on Knee Injury & Osteoarthritis Outcome Score (KOOS) Between JointStem and Positive Control Groups|Change From Baseline on Lysholm Knee Scoring Scale Between JointStem and Positive Control Groups|Change From Baseline on International Knee Documentation Committee (IKDC) Between JointStem and Positive Control Groups|Change From Baseline on RAND-36 Score Between JointStem and Positive Control Groups|Change From Baseline on WOMAC in JointStem Group|Change From Baseline on VAS in JointStem Group|Comparison of MRI Improvement Evaluation in JointStem Group|Change of Lysholm Knee Scoring Scale From Baseline at Months 6, 9 and 12|Change of KOOS Score From Baseline at Month 6, 9 and 12 for JointStem Group|Change of IKDC Score From Baseline at Month 6, 9 and 12 for JointStem Group|Change of RAND-36 Score From Baseline at Month 6, 9 and 12 for JointStem Group",1,28
731,Baseline Visual analogue scale (VAS)|Baseline value of knee injury and osteoarthritis outcome score (Koos).|Baseline Western Ontario and McMaster Universities Osteoarthritis Index score (WOMAC).|Baseline SF-36 value|Baseline euroquol 5D value|Baseline Lequesne index|Baseline femorotibial distance|Number of Participants with Serious and Non-Serious Adverse Events Number of Participants with Serious and Non-Serious Adverse Events Number of Participants with Serious and Non-Serious Adverse Events|Visual analogue scale (VAS) at on month|Visual analogue scale (VAS) at 3 months|Visual analogue scale (VAS) at 6 months|Visual analogue scale (VAS) at 12 months|Value of knee injury and osteoarthritis outcome score (Koos) at 1 month|Value of knee injury and osteoarthritis outcome score (Koos) at 3 month|Value of knee injury and osteoarthritis outcome score (Koos) at 6 month|Value of knee injury and osteoarthritis outcome score (Koos) at 12 months|Western Ontario and McMaster Universities Osteoarthritis Index score (WOMAC) at 1 month|Western Ontario and McMaster Universities Osteoarthritis Index score (WOMAC) at 3 month|Western Ontario and McMaster Universities Osteoarthritis Index score (WOMAC) at 6 month|Western Ontario and McMaster Universities Osteoarthritis Index score (WOMAC) at 12 months|SF-36 value at 1 month|SF 36 value at 3 months|SF 36 value at 6 months|SF 36 value at 12 months|Euroquol 5D value at 1 month|Euroquol 5D value at 3 months|Euroquol 5D value at 6 months|Euroquol 5D value at 12 months|Lequesne index at 1 month|Lequesne index at 3 months|Lequesne index at 6 months|Lequesne index at 12 months|Femorotibial distance at 6 months|Femorotibial distance at 12 months|Baseline MRI WORMS protocol|MRI WORMS protocol score at 6 months|MRI WORMS protocol score at 12 months,1,30
732,Hospital for special surgery knee score postoperative 1 month|Hospital for special surgery knee score postoperative 3 month|Hospital for special surgery knee score postoperative 6 month|Hospital for special surgery knee score postoperative 12 month|Hospital for special surgery knee score postoperative 24 month|Hospital for special surgery knee score postoperative 36 month|Visual Analogue Scale Postoperative Day 1|Visual Analogue Scale Postoperative Day 2|Visual Analogue Scale Postoperative Day 3|Visual Analogue Scale Postoperative Day 7|Visual Analogue Scale Postoperative 1 month|Visual Analogue Scale Postoperative 3 month|Visual Analogue Scale Postoperative 6 month|Visual Analogue Scale Postoperative 12 month|Visual Analogue Scale Postoperative Day One|Visual Analogue Scale Postoperative 24 month|Visual Analogue Scale Postoperative 36 month|Evaluation of cartilage repair under MRI postoperative 12 month|Evaluation of cartilage repair under MRI postoperative 24 month|Evaluation of cartilage repair under MRI postoperative 36 month|Degree of meniscus injury under MRI postoperative 12 month|Degree of meniscus injury under MRI postoperative 24 month|Degree of meniscus injury under MRI postoperative 36 month|Evaluation of cartilage repair under arthroscope postoperative 12 month|Degree of meniscus injury under arthroscope postoperative 12 month|Squatting to Standing Time postoperative 1 month|Squatting to Standing Time postoperative 3 month|Squatting to Standing Time postoperative 6 month|Squatting to Standing Time postoperative 12 month|Squatting to Standing Time postoperative 24 month|Squatting to Standing Time postoperative 36 month,1,30
733,Safety of HUC-MSCs infusion|Difference in rate of decline of Frailty|Difference in subject quality of life assessments|Changes in the pro-inflammatory cytokines of blood sample between the HUC-MSC and placebo cohorts|Changes in cellular components of the immune system between the HUC-MSC and placebo cohorts,1,30
734,Number of Participants With Treatment-emergent Serious Adverse Events (SAE).|Infarct Scar Size (ISS)|Number of Participant With Reported Tissue Perfusion|Peak Oxygen Consumption (VO2)|Six-minute Walk Test.|Changed in New York Heart Association (NYHA) Functional Classification Based on Patient's Self Reported Activity Level.|Number of Incidents of Major Adverse Cardiac Events (MACE).|Number of Participants With Treatment Emergent Adverse Event (AE)|Minnesota Living With Heart Failure (MLHF) Questionnaire Scores|Echocardiographic-derived Measures of Left Ventricular Function|Difference Between Regional Left Ventricular Function (at the Site of Allogeneic Cell Injections)|Difference Between the Regional Left Ventricular Wall Thickening|Difference Between Left Ventricular End Diastolic Wall Thickness|Difference Between the Left Ventricular Ejection Fraction (LVEF)|Difference in LVEF|Difference in Left Ventricular Volume|Difference in Left Ventricular Regional Myocardial Perfusion|Number of Participants With Abnormal Electrocardiogram (ECG) Reads.|Number of Clinically Significant of Abnormal Lab Values.|Serial Troponin I|Number of Participants With Abnormal ECHO Reading|Creatinine Kinase Muscle/Brain (CK-MB),1,30
735,"Difference in expression of CD31|The difference between MSC and placebo treatment in change in CO diffusion capacity|The differences in expression of Surfactant Protein-C expression by alveolar type II cells in lung tissue obtained from study patients treated with placebo or MSC.|The difference in immunostaining of various leukocytes in resected lung tissue, including T lymphocytes, B lymphocytes, macrophages and neutrophils obtained from study patients treated with placebo or MSC.|The difference in shear stress responses, expressed as % elongation of 100 cells, of isolated pMVECs ex vivo obtained from study patients treated with placebo or MSC.|The difference in endothelial microparticles concentration and concentration of immunological markers in blood samples from study patients treated with placebo or MSC.|The correlation between arterial pO2 or gas transfer value TLCO (measured as standard of care) and the outcome of the primary objective of the study for patients treated with MSC or placebo.",1,30
736,Clinical improvement|Lung damage improvement|Sars-Cov-2 viral infection laboratory test|Blood test,1,30
737,Adverse reactions incidence|Time to clinical improvement|Assessment of serum CRP (mg/L) levels|Assessment of serum LDH (U/L) levels|Assessment of serum Ferritin (ng/ml) levels|Assessment of serum D-dimer (microgr/ml) levels|Immunological changes on CD4+ T and CD8+ T|Lung Involvement|Changes in Inflammatory cytokine IL 6|Changes in anti-Inflammatory cytokine IL10,1,29
738,Incident of treatment emergent-serious adverse events|Change in serum concentrations of high sensitivity C-reactive protein.|Change in serum concentrations of inflammatory biomarkers|Change in depressive symptoms as assessed by MADRS|Change in Depressive symptoms as assessed by CGI|Change in quantity of alcohol use as assessed by TLFB|Change in frequency of alcohol use as assessed by TLFB|Change in Anhedonia as measured by SHAPS|Change in cravings as assessed by AUQ|Change in cravings as assessed by OCDS|Change in cognition as assessed by BAC-A|Change in functioning as assessed by UPSA-B|Change in functioning as assessed by GAF|Change in quality of life as assessed by QOLI,1,28
739,Temperature|Pulse|Breaths per minute|Blood pressure|Number of antral follicle|Follicle-stimulating hormone (FSH) serum level|Estradiol (E2) serum level|Anti-Mullerian hormone (AMH) serum level|Ovarian volume,1,28
740,Maximum Tolerated Dose Determined by Dose Limiting Toxicity|Minimal residual disease rate in high-risk patients|Overall survival (OS)|Progression-free survival (PFS),1,28
741,Number of patients with dose-limiting toxicities|Number of patients with adverse events|Change in serum sedimentation rate|Change in C-reactive protein levels|Change in complete blood counts|Change in total nucleated cell count in cerebrospinal fluid (CSF)|Change in protein level in cerebrospinal fluid (CSF)|Number of patients with presence of cancer cells in their cerebrospinal fluid (CSF),1,27
742,Safety of the administration of allogeneic mesenchymal stem cells derived from adipose tissue assessed by Adverse Event Rate|Efficacy of the administration of allogeneic mesenchymal stem cells derived from adipose tissue assessed by Survival Rate,1,26
743,Improvement of left ventricular function|Functional status,1,27
744,Investigation of cell proliferation of AT-MSCs|Investigation of differentiation potential of AT-MSCs to differentiate into adipocyte|Investigation of differentiation potential of AT-MSCs to differentiate into osteoblast|Measurement of gene expression profile of AT-MSCs|Healing of anal fistula after treatment|Evaluation of fistula healing after treatment|Functional gastroenterological outcome after treatment|Defecation disorder evaluation after treatment|Functional urological outcome after treatment,1,27
745,Safety profile of ADR-001 including the incidence of adverse events (Phase 1)|Improvement rate of Child-Pugh score (Phase 2)|Change of liver function evaluated by Child-Pugh score (Phase 1)|Improvement rate of Child-Pugh score (Phase 1)|Improvement rate of Child-Pugh grade (Phase 1)|Change of liver function evaluated by Child-Pugh score (Phase 2)|Improvement rate of Child-Pugh grade (Phase 2)|Safety profile of ADR-001 including the incidence of adverse events (Phase 2),1,27
746,Scores on unified MSA rating scale,1,27
747,Changes in Ocular Surface Disease Index (OSDI) Score|Changes in tear secretion amount by Schirmer's Test|Changes in Tear break time|Changes in Ocular Surface Staining|Changes in best corrected visual acuity (BCVA).|Changes in conjunctiva redness score|Changes in tear meniscus height,1,27
748,Viability and safety of mesenchymal stem cell transplant|Absence of complications in pre and peri surgical implantation|Improvement of 2 lines in Best Corrected Visual Acuity,1,27
749,change in number of acute surgeries|change in days of acute inpatient treatment|change in number of curative surgical procedures after oral mucosa transplantation|change in conjunctival inflammation,1,27
750,Absence of unexpected serious adverse reactions as a measure of safety and reduction in number and volumes of the lesions on magnetic resonance image|Differences the results obtained in the two groups of patients due to determined parameters.,1,26
751,"Number of adverse events as a measure of safety and tolerability of a single dose of HCR040 when administered by intravenous injection|Average stay in the Intensive Care Unit (ICU) 28 days after the administration of HCR040|Sequential Organ Failure Assessment (SOFA) index at 3, 7, 14, 21, and 28 days after the administration of HCR040|Mechanical ventilation-free days 28 days after the administration of HCR040|Percent mortality 28 days after the administration of HCR040|Daily pulmonary mechanics values (Ppl, DP, CRS)|Determination of lung damage using the Murray scale at day 3, 7, 14 and 28 after the administration of HCR040|Vasopressor-free days 28 days after the administration of HCR040|ICU-free days 28 days after the administration of HCR040",1,26
752,Safety: Incidence of adverse events improvement) in one or more areas of ailments related to PTHS|Safety: Incidence of serious adverse events|Change in motor function in individuals with PTHS|Change in communication abilities in individuals with PTHS.|Change in sleep habits|Change in gastrointestinal health|Change in breath holding spells|Change in cognition|Change in adaptive function|Change in autistic features|Change in parent assessment of quality of life|Change in global clinical status,1,26
753,"Incidence of TE-SAE Define as Composite of Death, Non-fatal MI, Stroke, Hospitalization for Worsening Heart Failure, Cardiac Perforation, Pericardial Tamponade, Ventricular Arrhythmias >15 Sec. or With Hemodynamic Compromise or Atrial Fibrillation|CT Infarct Size From Early Enhanced Defect: - Difference Between the Baseline and 13-month|CT Measure of Left Ventricular Ejection Fraction|CT Measure of End Diastolic Volume|CT Measure of End Systolic Volume|CT Measure of Scar Size as % of LV Mass|Change in Distance Walked in 6-minutes From Baseline.|Change in Minnesota Living With Heart Failure Total Score|Change in New York Heart Association Class at 12-months",1,31
754,"Incidence of minor adverse events (MAEs) , serious adverse events (SAEs) which may be immediate, early or late - for Phase I|Change from baseline to 24 week visit in glomerular filtration rate (GFR) and split renal function in all patients - for Phase II|Change from baseline to 24 week visit in estimated glomerular filtration rate (eGFR) with serum creatinine level in patients with CKD 4 and below - for Phase II|Change from baseline to 24 week visit in need for dialysis in patients with CKD 5 - for phase II|Change from baseline to all post-treatment visits in body weight|Change from baseline to all post-treatment visits in Blood-pressure|Change from baseline to all post-treatment visits in S.creatinine|Change from baseline to all post-treatment visits in blood urea.|Change from baseline to all post-treatment visits in Hemoglobin level|Change from baseline to all post-treatment visits in urine microalbumin-to-creatinine ratio (UMCR)|Change from baseline to all post-treatment visits in hemoglobin A1c|Change from baseline to all post-treatment visits in random blood sugar (RBS)|Change from baseline to all post-treatment visits in Anti-Hypertensive medication if there is any.|Change from baseline to all post-treatment visits in Hypoglycemic agent if there is any.|Change from baseline to post-treatment visits in urine total protein-creatinine ratio (UPCR)|Change from baseline to all post-treatment visits in urinary Protein-to-creatinine ratio PCR)|Change from baseline to post-treatment level of serum Alpha Feto Protein|Change from baseline to post-treatment level of serum CEA level|Change from baseline to post-treatment level of serum CA 19.9 level|Change from baseline to post-treatment level LDH level|Change from baseline to post-treatment level of Beta 2 Microglobulin level|Change from baseline to post-treatment level of serum CA 125 level (in case of female patients)|Change from baseline to post-treatment level of PSA level (in case of male patients)",1,31
755,Event-free survival rate|Transplant-related mortality (TRM)|Pattern of biochemical improvement|Measure patients Quality of Life using a questionnaire|Durability of HSC and third party MSC engraftment in the skin|Probability of Survival|Number of participants experiencing Acute GVHD,1,32
756,Number of patients with union after transplantation of mesenchymal stem cell in case group in comparison with control group,1,40
757,Bone consolidation|Radiological Bone consolidation|Level of Pain|Complications|Health status,1,46
758,Proportion of Major Adverse Cardiac Events (MACE)|Proportion of Other Significant Clinical Events|Subjects With Events Precluding Their Receipt of Product|Subjects Who Receive Less Than 20 Injections During SPI|Subjects Who Did Not Receive the Study Product (Either 100 Million Cells or Placebo)|Subjects Who Have at Least One Cardiac MRI Endpoint Measure That is Uninterpretable|Subjects Who Fail to Complete Follow-up|Change From Baseline in Left Ventricular Ejection Fraction (LVEF)|Change From Baseline in Left Ventricular Ejection Fraction (LVEF)-Trajectory|Change From Baseline in Global Strain (HARP MRI)|Change From Baseline in Global Strain (HARP MRI)-Trajectory|Change From Baseline in Regional Strain (HARP MRI)|Change From Baseline in Regional Strain (HARP MRI)-Trajectory|Change From Baseline in Left Ventricular End Diastolic Volume Index (LVEDVI)|Change From Baseline in Left Ventricular End Diastolic Volume Index (LVEDVI)-Trajectory|Change From Baseline in Left Ventricular End Systolic Volume Index (LVESVI)|Change From Baseline in Left Ventricular End Systolic Volume Index (LVESVI)-Trajectory|Change From Baseline in Left Ventricular Sphericity Index|Change From Baseline in Left Ventricular Sphericity Index-Trajectory|Change From Baseline in Area of Injury|Change From Baseline in Area of Injury-Trajectory|Change From Baseline in Exercise Tolerance (Six Minute Walk Test)|Change From Baseline in Exercise Tolerance (Six Minute Walk Test)-Trajectory|Change From Baseline in Minnesota Living With Heart Failure Questionnaire Score|Change From Baseline in Minnesota Living With Heart Failure Questionnaire Score-Trajectory|Change From Baseline in N-Terminal Pro-Brain Natriuretic Peptide (NT-proBNP)|Change From Baseline in N-Terminal Pro-Brain Natriuretic Peptide (NT-proBNP)-Trajectory|Cumulative Days Alive and Out of Hospital for Heart Failure,1,46
759,Number of subjects with adverse events|Change from the baseline in ADAS-Cog|Change from the baseline in S-IADL|Change from the baseline in K-MMSE|Change from the baseline in CGA-NPI|ADAS-Cog Response Rate|Change in CDR-SOB|Change in Florbetaben-PET|Change in FDG-PET (CMRglc: regional cerebral metabolic rate for glucose)|Change in CIBIC-plus|Change from baseline in MRI (DTI mapping)|Change from the baseline in CSF biomarkers,1,46
760,Assessment of endometrial receptivity|Clinical pregnancy rate|Treatment-Emergent Adverse Events,1,46
761,Changes in wound size|Changes in wound morphology|Changes in pro-angiogenic factors expression|Changes in wound-associated pain|Changes in the quality of life|Record of adverse events,1,46
762,Determination of recommended Phase II dose (RP2D) of MSCTRAIL in combination of cisplatin and pemetrexed treatment (Phase 1)|Tumour response rate (Phase 2)|Frequency of adverse events (Phase 1 & 2)|Best Overall response (Phase 1&2)|Progression free survival (Phase 1 & 2)|Overall survival (Phase 2),1,46
763,Incidence of AEs|Mortality|Death|Number of ventilator-free days|Improvement of one category|7-point ordinal scale|NEWS|NEWS of ≤ 2|Sequential Organ Failure Assessment (SOFA)|Oxygen|Hospitalization|Incidence of SAEs,1,45
764,Number of successful preparations and deliveries of investigational product|Number of adverse events attributed to the investigational product|Maximal Tolerated Dose|Primary graft failure|Secondary graft failure|Platelet engraftment|Non-relapse mortality (NRM)|Change in Acute graft-versus-host disease (aGvHD) Incidence|Change in Chronic graft-versus-host disease (cGvHD) Incidence|Disease-free survival (DFS)|Primary cause of death|Relapse|Early discontinuation|Viral activation,1,45
765,"Safest number of effective doses of MSC as measured by the Part III of the Movement Disorder Society Unified Parkinson's disease Rating Scale (MDS-UPDRS) scale|Safety and tolerability as measured by serious adverse reactions.|Safety and tolerability as measured by immunologic responses.|Motor function as measured by the Timed-Up-and-Go (TUG) scale|Global measurement of disability as measured by the change in the screening ""Off"" modified Hoehn and Yahr (H&Y)|Quality of life as measured by the modified Schwab and England activities of daily living scale (ADL)|Quality of life as measured by the Parkinson's Disease Questionnaire 39 (PDQ-39)|Quality of life as measured by the EuroQol- 5 Dimension (EQ-5D)|Non-motor symtoms as measured by the The University of Pennsylvania Smell Identification Test (UPSIT- 40 odor test booklet).|Cognitive function as measured by the the change in Montreal Cognitive Assessment (MoCA)|Behavioral changes as measured by the Columbia Suicide Severity Rating Scale (C-SSRS)|Behavioral changes as measured by the Geriatric Depression Scale-Short Form (GDS-SF)|Behavioral changes as measured by the Parkinson Anxiety Scale (PAS)|Measurement of putative paracrine mechanism of MSCs using neuroimaging|Measurement of putative paracrine mechanism of MSCs as measured by concentration of cytokines in patient blood sample.|Measurement of putative paracrine mechanism of MSCs as measured by concentration of chemokines in patient blood sample.|Measurement of putative paracrine mechanism of MSCs as measured by concentration of growth factors|Measurement of putative paracrine mechanism of MSCs as measured by concentration of neurotransmitters|Measurement of putative paracrine mechanism of MSCs as measured by alpha-synuclein oligomers in the blood (serum or plasma)|Measurement of putative paracrine mechanism of MSCs as measured by alpha-synuclein oligomers in the cerebral spinal fluid",1,45
766,Scale for the assessment anf rating of ataxia (SARA)|Image examinations|Inventory of Non-Ataxia Symptoms (INAS) score|Cerebrospinal fluid (csf) routine,1,45
767,survival rate|Adverse reactions|White blood cell|Platelet|Hemoglobin|Creatinine|ALT|ALB|TBil|INRs|AFP|MELD scores|Tumor formation|Liver failure-associated serious complications,1,45
768,Adverse events and serious adverse events|Reduced activities|Slowing of mobility|reduction of handgrip strength|exhaustion|the level of pain in the knee|respiratory function|Quality of Life|patients' inflammation|patients' immune|immunoregulatory properties of umbilical cord-derived mesenchymal stem/stromal cells|Cellular senescence|metabolic profiles of CD3+ cells,1,44
